display_name,username,verified,profile_image_url,text,datetime,tweet_url,image_urls,replies,retweets,likes,views,profile
وزارة الشؤون الخارجية| MFA-Algeria,أحمد عطاف Ahmed Attafreposted,True,https://pbs.twimg.com/profile_images/1886470189362855936/45_t1Q2m_bigger.jpg,تلقّى وزير الشؤون الخارجية والجالية الوطنية بالخارج، السيد @AhmedAttaf_Dz مكالمة هاتفية من أخيه وزير الشؤون الخارجية والهجرة والتونسيين بالخارج، السيد نبيل عمار، الذي هنأه على نيله ثقة السيد رئيس الجمهورية وتعيينه على رأس الدبلوماسية الجزائرية.,2023-03-20T08:52:46.000Z,https://twitter.com/AhmedAttaf_Dz,https://pbs.twimg.com/media/Frpq4zAWYAEfzUp?format=jpg&name=900x900,8,32,433,أحمد عطاف Ahmed Attafreposted,AhmedAttaf_Dz
وزارة الشؤون الخارجية| MFA-Algeria,أحمد عطاف Ahmed Attafreposted,True,https://pbs.twimg.com/profile_images/1886470189362855936/45_t1Q2m_bigger.jpg,"استقبل وزير الشؤون الخارجية، أحمد عطاف،  بمقر الوزارة، نائبة المدير العام للمنظمة الدولية للهجرة، غيمي بوب.
تركزت المحادثات حول آفاق تعزيز دور هذه المنظمة في تجسيد ولايتها التي تهدف بشكل أساسي الى ضمان إدارة إنسانية ومنظمة للهجرة وفقا لنهج شامل قائم على الشرعية والتعاون الدوليين.",2023-03-19T14:48:17.000Z,https://twitter.com/AhmedAttaf_Dz,https://pbs.twimg.com/media/Frlyq2rXgAIePtK?format=jpg&name=900x900,8,51,525,أحمد عطاف Ahmed Attafreposted,AhmedAttaf_Dz
أحمد عطاف Ahmed Attaf,,True,https://pbs.twimg.com/profile_images/1659638170969939968/hKni9hI4_bigger.jpg,من محاسن الصدف أن أستهل مهامي بالاحتفال بعيد النصر كمحطة تاريخية مباركة نستحضر فيها أمجاد أسلافنا الدبلوماسيين الثوريين ونجدد العهد بمواصلة العمل على نهجهم القويم لتحقيق المزيد من الانتصارات وفق الأهداف الاستراتيجية التي حددها السيد رئيس الجمهورية. المجد والخلود لشهدائنا الأبرار.,2023-03-19T10:19:38.000Z,https://twitter.com/AhmedAttaf_Dz,"https://pbs.twimg.com/media/Frk1LfMXwAQbQzd?format=jpg&name=small, https://pbs.twimg.com/media/Frk1Lh2X0AA0n_I?format=jpg&name=small",525,300,3.3K,,AhmedAttaf_Dz
Boughali Brahim ابراهيم بوغالي,,False,https://pbs.twimg.com/profile_images/1413816150354448385/NChRnDt5_bigger.jpg,بعد التصويت على مشروع #قانون_المالية_2022 ، أبت لجنة المالية والميزانية إلا أن تقوم بلفتة كريمة حيث أقامت على شرف #رئيس_المجلس_الشعبي_الوطني ، السيد #ابراهيم_بوغالي ، وقفة تكريمية تقديرا على الوقوف معهم وتشجيعهم بكل الوسائل لتسيير عملهم في ظروف ملائمة.,2021-11-17T19:07:32.000Z,https://twitter.com/boughali_brahim,"https://pbs.twimg.com/media/FEavuSCWUAcAhiw?format=jpg&name=small, https://pbs.twimg.com/media/FEavu_nWQAc1Ig-?format=jpg&name=small, https://pbs.twimg.com/media/FEavvwOXwAM68jk?format=jpg&name=small, https://pbs.twimg.com/media/FEavwXlWUAQguW9?format=jpg&name=small",5,,70,,boughali_brahim
Boughali Brahim ابراهيم بوغالي,,False,https://pbs.twimg.com/profile_images/1413816150354448385/NChRnDt5_bigger.jpg,"استقبلت اليوم بمقر المجلس، سعادة سفيرة مملكة بريطانيا العظمى وإيرلندا الشمالية لدى الجزائر السيدة Scharon  wardle
  تحادثنا في واقع العلاقات خاصة البرلمانية منها وضرورة تعزيزها، كما تطرقنا إلى المسائل الثقافية والتعليمية وفرص الأعمال بعد مصادقتنا على مشروع قانون الاستثمار.",2022-07-06T16:56:04.000Z,https://twitter.com/boughali_brahim,https://pbs.twimg.com/media/FW_46poXwAEHuMD?format=jpg&name=900x900,16,5,75,,boughali_brahim
Boughali Brahim ابراهيم بوغالي,,False,https://pbs.twimg.com/profile_images/1413816150354448385/NChRnDt5_bigger.jpg,رئيس المجلس الشعبي الوطني #ابراهيم_بوغالي يحضر احتفالية بمناسبة مباشرة #المحكمة_الدستورية عملها باشراف رئيس الجمهورية السيد #عبد_المجيد_تبون,2021-11-22T13:47:08.000Z,https://twitter.com/boughali_brahim,https://pbs.twimg.com/media/FEzWXm4XwAU8jpk?format=jpg&name=900x900,3,2,73,,boughali_brahim
Duma Gideon Boko,,True,https://pbs.twimg.com/profile_images/1175075021447995398/k6baTZ-M_bigger.jpg,"Digitize Africa

Arrived in Lusaka on an official visit to attend the inaugural African Continental Free Trade Area @AfCFTA Digital Trade and Services Forum, hosted in the Republic of Zambia.

This important gathering marks a new chapter in Africa’s digital and economic",2025-05-08T11:21:28.000Z,https://twitter.com/duma_boko,https://pbs.twimg.com/media/GqbBGyUW0AAgvds?format=jpg&name=900x900,34,114,676,,duma_boko
لعزيز فايد - Laaziz FAID,,True,https://pbs.twimg.com/profile_images/1648298328260591620/5XCC1798_bigger.jpg,#عيدكم_مبارك يسعدني ونحن نستقبل عيد الأضحى المبارك أن أهنئ كافة إطارات وموظفي قطاع المالية، داعيا المولى عز و جل، أن يتقبل منا ومنكم صالح الأعمال، ويرزقنا الأجر والثواب. https:// facebook.com/10009190519767 1/posts/pfbid03tA8Fp8BukVjKqHEx9yk27qaXwACvFsNB6LjJk1FSZufkrCJHzzJK6G4DX4psjpjl/?app=fbl …,2023-06-28T11:33:04.000Z,https://twitter.com/LaazizFaidMF,https://pbs.twimg.com/media/FztOgLQacAAnlKi?format=jpg&name=900x900,1,1,3,,LaazizFaidMF
لعزيز فايد - Laaziz FAID,,True,https://pbs.twimg.com/profile_images/1648298328260591620/5XCC1798_bigger.jpg,#عيد_الفطر_المبارك بمناسبة حلول عيد الفطر المبارك يطيب لي أن أتوجه إلى كافة إطارات و موظفي قطاع المالية بأخلص التهاني داعيا العلي القدير أن تتكلل جهود الصيام والقيام بالقبول التام من الله عز وجل، على أن تعاد هذه المناسبة عليكم و على أهلكم بوافر الخير و البركات.,2023-04-23T11:40:49.000Z,https://twitter.com/LaazizFaidMF,https://pbs.twimg.com/media/FuZXKZbX0AEqSOb?format=jpg&name=900x900,1,2,9,,LaazizFaidMF
لعزيز فايد - Laaziz FAID,,True,https://pbs.twimg.com/profile_images/1648298328260591620/5XCC1798_bigger.jpg,للتواصل مع وزارة المالية.,2023-04-20T12:21:59.000Z,https://twitter.com/LaazizFaidMF,,,,2,,LaazizFaidMF
لعزيز فايد - Laaziz FAID,,True,https://pbs.twimg.com/profile_images/1648298328260591620/5XCC1798_bigger.jpg,"#انشغالات -المواطنين
يمكنكم طرح إنشغالاتكم عبر هذه المنصة https:// mf.gov.dz/index.php/ar/c ontact-ar …",2023-04-20T12:04:52.000Z,https://twitter.com/LaazizFaidMF,,,,1,,LaazizFaidMF
Ndaba Gaolathe,,False,https://pbs.twimg.com/profile_images/1192114040077721602/7dKPG1TD_bigger.jpg,"AP Convention

Venue:Baisago Hall

Date:28 October 2017

Time:2pm #ska_bafa_chance #ska_ba_hemisa #tswelelopele_ya_botlhe",2017-10-27T12:43:26.000Z,https://twitter.com/ndabagaolathe,,1,8,21,,ndabagaolathe
Ndaba Gaolathe,,False,https://pbs.twimg.com/profile_images/1192114040077721602/7dKPG1TD_bigger.jpg,..day well-spent..journey well worth our commitment..thank you to friends present and absent..thank you for all the prayers..,2017-05-21T18:06:09.000Z,https://twitter.com/ndabagaolathe,,3,3,21,,ndabagaolathe
Olushegun ADJADI BAKARI,,True,https://pbs.twimg.com/profile_images/1764026279580336128/97-LrCiN_bigger.jpg,"Au nom du Président de la République @PatriceTalonPR , et de tout le peuple béninois, j'ai pu réaffirmer aujourd'hui notre soutien sans équivoque pour la résolution de la crise multidimensionnelle à laquelle doit faire face la République sœur d'Haïti.

Les défis sont nombreux : la",2024-01-18T15:20:16.000Z,https://twitter.com/shegunbakari,https://pbs.twimg.com/media/GEH1ys3WAAA72Kf?format=jpg&name=900x900,2,8,26,,shegunbakari
Olushegun ADJADI BAKARI,,True,https://pbs.twimg.com/profile_images/1764026279580336128/97-LrCiN_bigger.jpg,#TogoatACF2019 #togo at the front and definitely #Togo is the place #Togo,2019-03-26T15:20:43.000Z,https://twitter.com/shegunbakari,,1,7,27,,shegunbakari
Olushegun ADJADI BAKARI,,True,https://pbs.twimg.com/profile_images/1764026279580336128/97-LrCiN_bigger.jpg,"Cher @steph_sejourne , 

Félicitations pour votre nomination au poste de Ministre de l’Europe et des Affaires Étrangères. 

Le Bénin se réjouit de travailler avec vous pour renforcer nos liens d’amitié et de partenariat avec la France #BeninDiplomatie #Benin #France",2024-01-12T09:20:27.000Z,https://twitter.com/shegunbakari,,1,1,27,,shegunbakari
Romuald Wadagni,,True,https://pbs.twimg.com/profile_images/1746760218573156353/O1grrqbq_bigger.jpg,"Le Bénin est reconnu à l'internationale comme une signature fiable, conséquence logique des politiques ambitieuses inspirées de la vision de @PatriceTalonPR .

Nos priorités d’investissement sont claires et axées sur 3 domaines : la cosmétique, pharmaceutique et agro-industrie.",2022-08-31T10:59:04.000Z,https://twitter.com/WadagniRomuald,,1,6,29,,WadagniRomuald
Romuald Wadagni,,True,https://pbs.twimg.com/profile_images/1746760218573156353/O1grrqbq_bigger.jpg,"Merci au Président de la République de #RDC Félix Tshisekedi, de m'avoir reçu en audience afin que je puisse lui porter un message personnel du Président @PatriceTalonPR .",2021-12-08T12:52:31.000Z,https://twitter.com/WadagniRomuald,"https://pbs.twimg.com/media/FGBUp0zXMAQlJg7?format=jpg&name=small, https://pbs.twimg.com/media/FGBUqdFXEAA2iaw?format=jpg&name=small, https://pbs.twimg.com/media/FGBUq6YWQAAvRAb?format=jpg&name=small, https://pbs.twimg.com/media/FGBUrXYWUAU3Oky?format=jpg&name=small",5,10,28,,WadagniRomuald
Romuald Wadagni,,True,https://pbs.twimg.com/profile_images/1746760218573156353/O1grrqbq_bigger.jpg,"Ce 1er mai nous célébrons tous les travailleurs béninois qui, chaque jour, contribuent par leur dévouement et  leur engagement au développement économique et social de notre pays.

Bonne fête du travail à toutes et à tous ! #InternationalWorkersDay",2022-05-01T09:43:10.000Z,https://twitter.com/WadagniRomuald,,5,1,28,,WadagniRomuald
Romuald Wadagni,,True,https://pbs.twimg.com/profile_images/1746760218573156353/O1grrqbq_bigger.jpg,"Les députés ont adopté à l'unanimité la nouvelle loi de Finances : le #budget 2022 du #Bénin est de 2 541,203 milliards FCFA. 
Ce budget permettra de poursuivre la volonté de @PatriceTalonPR d’améliorer les conditions de vie de tous les citoyens.",2021-12-14T10:30:06.000Z,https://twitter.com/WadagniRomuald,,5,12,19,,WadagniRomuald
Romuald Wadagni,,True,https://pbs.twimg.com/profile_images/1746760218573156353/O1grrqbq_bigger.jpg,"En cette Journée Internationale des droits des femmes, soulignons la contribution des femmes au développement du Bénin. Sous l'autorité de @PatriceTalonPR , la politique du gouvernement permet de grandes avancées pour l'égalité et les droits des femmes. Continuons à agir ! #IWD",2022-03-08T15:42:29.000Z,https://twitter.com/WadagniRomuald,,1,13,27,,WadagniRomuald
